,Player,Pos.,Team,Total Value,APY,Total Guaranteed,Avg. Guarantee/Year,% Guaranteed,Position,Position Rank
311,Shy Tuttle,IDL,Panthers,19500000,6500000,13000000,4333333,66.7,IDL,34
312,"Chauncey Gardner-Johnson, Jr.",S,Lions,6500000,6500000,6500000,6500000,100.0,S,53
313,Trent Brown,RT,Patriots,13000000,6500000,4000000,2000000,30.8,OT,26
314,Miles Sanders,RB,Panthers,25400000,6350000,13000000,3250000,51.2,RB,7
315,Ogbonnia Okoronkwo,EDGE,Browns,19000000,6333333,10830000,3610000,57.0,EDGE,38
316,Shaq Thompson,LB,Panthers,12600000,6300000,8500000,4250000,67.5,LB,30
317,Tyree Wilson,EDGE,Raiders,25005500,6251375,0,0,0.0,EDGE,31
318,Alex Anzalone,LB,Lions,18750000,6250000,9000000,3000000,48.0,LB,17
319,Jordan Poyer,S,Bills,12500000,6250000,6240000,3120000,49.9,S,30
320,Dalton Schultz,TE,Texans,6250000,6250000,6000000,6000000,96.0,TE,35
321,Evan Neal,RT,Giants,24551256,6137814,24551256,6137814,100.0,OT,13
322,Austin Ekeler,RB,Chargers,24500000,6125000,13750000,3437500,56.1,RB,8
323,Mark Glowinski,RG,Giants,18300000,6100000,11400000,3800000,62.3,IOL,12
324,Penei Sewell,RT,Lions,24099068,6024767,24099068,6024767,100.0,OT,14
325,Juwan Johnson,TE,Saints,12010000,6005000,8510000,4255000,70.9,TE,24
326,Darius Slayton,WR,Giants,12000000,6000000,4900000,2450000,40.8,WR,61
327,Marcus Epps,S,Raiders,12000000,6000000,7755000,3877500,64.6,S,32
328,Cole Holcomb,LB,Steelers,18000000,6000000,4920000,1640000,27.3,LB,19
329,Dorance Armstrong Jr.,IDL,Cowboys,12000000,6000000,6000000,3000000,50.0,IDL,51
330,Alex Singleton,LB,Broncos,18000000,6000000,9000000,3000000,50.0,LB,19
331,Gerald Everett,TE,Chargers,12000000,6000000,8000000,4000000,66.7,TE,25
332,Julian Love,S,Seahawks,12000000,6000000,5980000,2990000,49.8,S,32
333,Ethan Pocic,C,Browns,18000000,6000000,10000000,3333333,55.6,IOL,9
334,David Montgomery,RB,Lions,18000000,6000000,8750000,2916667,48.6,RB,12
335,Tyron Smith,LT,Cowboys,6000000,6000000,6000000,6000000,100.0,OT,33
336,Bradley Bozeman,C,Panthers,18000000,6000000,10000000,3333333,55.6,IOL,9
337,Justin Jones,IDL,Bears,12000000,6000000,7050000,3525000,58.8,IDL,51
338,Justin Tucker,K,Ravens,24000000,6000000,14000000,3500000,58.3,K,2
339,Quincy Williams,LB,Jets,18000000,6000000,9000000,3000000,50.0,LB,19
340,Ted Karras,C,Bengals,18000000,6000000,5000000,1666667,27.8,IOL,9
341,Mike Hilton,CB,Bengals,24000000,6000000,6000000,1500000,25.0,CB,25
342,Emmanuel Moseley,CB,Lions,6000000,6000000,2000000,2000000,33.3,CB,73
343,Derrick Brown,IDL,Panthers,23621404,5905351,23621404,5905351,100.0,IDL,27
344,Mo Alie-Cox,TE,Colts,17550000,5850000,8200000,2733333,46.7,TE,20
345,Josh Allen,EDGE,Jaguars,22742636,5685659,22742636,5685659,100.0,EDGE,33
346,Matt Gay,K,Colts,22500000,5625000,10060000,2515000,44.7,K,3
347,Bryan Mone,IDL,Seahawks,11035000,5517500,1500000,750000,13.6,IDL,54
348,Nick Gates,C,Commanders,16500000,5500000,8000000,2666667,48.5,IOL,11
349,Bilal Nichols,IDL,Raiders,11000000,5500000,7125000,3562500,64.8,IDL,55
350,Andrus Peat,LG,Saints,5500000,5500000,5500000,5500000,100.0,IOL,20
351,Josey Jewell,LB,Broncos,11000000,5500000,6000000,3000000,54.5,LB,33
352,Deatrich Wise,EDGE,Patriots,22000000,5500000,10000000,2500000,45.5,EDGE,34
353,Bobby Wagner,LB,Seahawks,5500000,5500000,4480000,4480000,81.5,LB,51
354,Tyus Bowser,EDGE,Ravens,22000000,5500000,12000000,3000000,54.5,EDGE,34
355,Tyrod Taylor,QB,Giants,11000000,5500000,8200000,4100000,74.5,QB,33
356,Bijan Robinson,RB,Falcons,21958544,5489636,0,0,0.0,RB,10
357,Jalen Carter,IDL,Eagles,21806184,5451546,21806184,5451546,100.0,IDL,28
358,Kyle Juszczyk,FB,49ers,27000000,5400000,9600000,1920000,35.6,FB,1
359,Drake London,WR,Falcons,21534472,5383618,21534472,5383618,100.0,WR,36
360,Charles Cross,LT,Seahawks,21383626,5345907,21383626,5345907,100.0,OT,20
361,Jaycee Horn,CB,Panthers,21112146,5278037,21112146,5278037,100.0,CB,29
362,Jason Myers,K,Seahawks,21100000,5275000,8665000,2166250,41.1,K,5
363,Garrett Bradbury,C,Vikings,15750000,5250000,5150000,1716667,32.7,IOL,13
364,Mason Cole,C,Steelers,15750000,5250000,4565000,1521667,29.0,IOL,13
365,Cordarrelle Patterson,RB,Falcons,10500000,5250000,5000000,2500000,47.6,RB,18
366,Darnell Wright,RT,Bears,20968270,5242068,0,0,0.0,OT,18
367,Patrick Surtain II,CB,Broncos,20962802,5240701,20962802,5240701,100.0,CB,31
368,Jeff Okudah,CB,Falcons,5182072,5182072,5182072,5182072,100.0,CB,82
369,Isaiah Simmons,LB,Cardinals,20664054,5166014,20664054,5166014,100.0,LB,14
370,Patrick Mekari,LG,Ravens,15450000,5150000,7100000,2366667,46.0,IOL,10
371,Garrett Wilson,WR,Jets,20554006,5138502,20554006,5138502,100.0,WR,37
372,C.J. Henderson,CB,Panthers,20516188,5129047,20516188,5129047,100.0,CB,32
373,Tyler Bass,K,Bills,20400000,5100000,9410000,2352500,46.1,K,6
374,Chuck Clark,S,Jets,15300000,5100000,10000000,3333333,65.4,S,24
375,DeVonta Smith,WR,Eagles,20141392,5035348,20141392,5035348,100.0,WR,38
376,Andy Dalton,QB,Panthers,10000000,5000000,8000000,4000000,80.0,QB,34
377,Jerry Hughes,EDGE,Texans,10000000,5000000,5500000,2750000,55.0,EDGE,60
378,Morgan Moses,RT,Ravens,15000000,5000000,5500000,1833333,36.7,OT,22
379,A'Shawn Robinson,IDL,Giants,5000000,5000000,4000000,4000000,80.0,IDL,84
380,D.J. Chark,WR,Panthers,5000000,5000000,5000000,5000000,100.0,WR,103
381,Azeez Al-Shaair,LB,Titans,5000000,5000000,4250000,4250000,85.0,LB,65
382,Anthony Nelson,EDGE,Buccaneers,10000000,5000000,5500000,2750000,55.0,EDGE,60
383,Jarrett Stidham,QB,Broncos,10000000,5000000,5000000,2500000,50.0,QB,34
384,Kyzir White,LB,Cardinals,10000000,5000000,6000000,3000000,60.0,LB,35
385,David Long Jr.,LB,Dolphins,10000000,5000000,5500000,2750000,55.0,LB,35
386,Kendrick Bourne,WR,Patriots,15000000,5000000,5250000,1750000,35.0,WR,47
387,Christian Kirksey,LB,Texans,10000000,5000000,4000000,2000000,40.0,LB,35
388,Chris Boswell,K,Steelers,20000000,5000000,9760000,2440000,48.8,K,9
389,Brian Allen,C,Rams,10000000,5000000,3000000,1500000,30.0,IOL,17
390,Jayron Kearse,S,Cowboys,10000000,5000000,5000000,2500000,50.0,S,36
391,Xavier Woods,S,Panthers,15000000,5000000,6035000,2011667,40.2,S,25
392,Riley Reiff,RT,Patriots,5000000,5000000,4150000,4150000,83.0,OT,36
393,Nathan Shepherd,IDL,Saints,15000000,5000000,10180000,3393333,67.9,IDL,40
394,Marcus Mariota,QB,Eagles,5000000,5000000,5000000,5000000,100.0,QB,47
395,Andrew Norwell,LG,Commanders,10000000,5000000,4700000,2350000,47.0,IOL,13
396,Brandon Graham,EDGE,Eagles,5000000,5000000,5000000,5000000,100.0,EDGE,93
397,T.J. Hockenson,TE,Vikings,19821226,4955307,19821226,4955307,100.0,TE,19
398,Jedrick Wills,LT,Browns,19702914,4925729,19702914,4925729,100.0,OT,22
399,Ed Oliver,IDL,Bills,19675154,4918789,19675154,4918789,100.0,IDL,33
400,Peter Skoronski,LT,Titans,19673320,4918330,0,0,0.0,OT,23
401,Younghoe Koo,K,Falcons,24250000,4850000,8000000,1600000,33.0,K,1
402,Chris Olave,WR,Saints,19271872,4817968,19271872,4817968,100.0,WR,40
403,Deonte Harty,WR,Bills,9500000,4750000,4750000,2375000,50.0,WR,65
404,Jamal Agnew,WR,Jaguars,14250000,4750000,4000000,1333333,28.1,WR,51
405,David Andrews,C,Patriots,19000000,4750000,6500000,1625000,34.2,IOL,7
406,Justin Fields,QB,Bears,18871952,4717988,18871952,4717988,100.0,QB,27
407,Parris Campbell,WR,Giants,4700000,4700000,2900000,2900000,61.7,WR,109
408,Graham Gano,K,Giants,14000000,4666667,9500000,3166667,67.9,K,13
409,Mekhi Becton,RT,Jets,18446046,4611512,18446046,4611512,100.0,OT,19
410,Daniel Carlson,K,Raiders,18400000,4600000,4255556,1063889,23.1,K,10
411,Nyheim Hines,RB,Bills,9000000,4500000,2000000,1000000,22.2,RB,23
412,Jourdan Lewis,CB,Cowboys,13500000,4500000,4750000,1583333,35.2,CB,43
413,Sam Darnold,QB,49ers,4500000,4500000,3500000,3500000,77.8,QB,52
414,Lavonte David,LB,Buccaneers,4500000,4500000,4500000,4500000,100.0,LB,75
415,Will Hernandez,RG,Cardinals,9000000,4500000,4500000,2250000,50.0,IOL,18
416,Jarran Reed,IDL,Seahawks,9000000,4500000,4190000,2095000,46.6,IDL,59
417,Frankie Luvu,LB,Panthers,9000000,4500000,4500000,2250000,50.0,LB,38
418,Lorenzo Carter,EDGE,Falcons,9000000,4500000,5250000,2625000,58.3,EDGE,63
419,Jabrill Peppers,S,Patriots,9000000,4500000,6000000,3000000,66.7,S,39
420,Jacob Martin,EDGE,Broncos,13500000,4500000,6000000,2000000,44.4,EDGE,47
421,Steven Nelson,CB,Texans,9000000,4500000,4500000,2250000,50.0,CB,53
422,Mike Gesicki,TE,Patriots,4500000,4500000,3550000,3550000,78.9,TE,50
423,Jahmyr Gibbs,RB,Lions,17845138,4461285,0,0,0.0,RB,13
424,Ka'imi Fairbairn,K,Texans,17650000,4412500,9000000,2250000,51.0,K,11
425,Jonah Williams,LT,Bengals,17630166,4407542,17630166,4407542,100.0,OT,24
426,Jason Sanders,K,Dolphins,22000000,4400000,7520000,1504000,34.2,K,4
427,Jameson Williams,WR,Lions,17461792,4365448,17461792,4365448,100.0,WR,41
428,Lukas Van Ness,EDGE,Packers,17388096,4347024,0,0,0.0,EDGE,39
429,Andre James,C,Raiders,8650000,4325000,4000000,2000000,46.2,IOL,18
430,Terence Steele,LT,Cowboys,4304000,4304000,0,0,0.0,OT,44
431,Bryce Huff,EDGE,Jets,4304000,4304000,0,0,0.0,EDGE,110
432,Yosuah Nijman,LT,Packers,4304000,4304000,0,0,0.0,OT,44
433,Aaron Brewer,LG,Titans,4304000,4304000,0,0,0.0,IOL,29
434,Brandon McManus,K,Broncos,17200000,4300000,9500000,2375000,55.2,K,12
435,Micah Parsons,LB,Cowboys,17079792,4269948,17079792,4269948,100.0,LB,21
436,Jordan Davis,IDL,Eagles,17009278,4252320,17009278,4252320,100.0,IDL,36
437,Ryan Bates,RG,Bills,17000000,4250000,8850000,2212500,52.1,IOL,13
438,Adrian Phillips,S,Patriots,12750000,4250000,5870000,1956667,46.0,S,28
439,John Cominsky,IDL,Lions,8500000,4250000,4000000,2000000,47.1,IDL,62
440,Dean Lowry,IDL,Vikings,8500000,4250000,4200000,2100000,49.4,IDL,62
441,Rashawn Slater,LT,Chargers,16631758,4157940,16631758,4157940,100.0,OT,25
442,Broderick Jones,LT,Steelers,16626364,4156591,0,0,0.0,OT,26
443,Jake Brendel,C,49ers,16500000,4125000,5000000,1250000,30.3,IOL,11
444,Khalen Saunders,IDL,Saints,12300000,4100000,4600000,1533333,37.4,IDL,48
445,Will McDonald IV,EDGE,Jets,16321664,4080416,0,0,0.0,EDGE,40
446,Kyle Hamilton,S,Ravens,16255088,4063772,16255088,4063772,100.0,S,23
447,Tristan Wirfs,RT,Buccaneers,16228028,4057007,16228028,4057007,100.0,OT,20
448,Harrison Butker,K,Chiefs,20275000,4055000,6490000,1298000,32.0,K,7
449,Teair Tart,IDL,Titans,4304000,4034000,0,0,0.0,IDL,97
450,Jake Elliott,K,Eagles,20150000,4030000,5655000,1131000,28.1,K,8
451,Levi Wallace,CB,Steelers,8000000,4000000,2965000,1482500,37.1,CB,58
452,Nate Herbig,RG,Steelers,8000000,4000000,2920000,1460000,36.5,IOL,22
453,Mike White,QB,Dolphins,8000000,4000000,4500000,2250000,56.3,QB,37
454,Keisean Nixon,CB,Packers,4000000,4000000,1850000,1850000,46.3,CB,123
455,Ahkello Witherspoon,CB,Steelers,8000000,4000000,2965000,1482500,37.1,CB,58
456,Nick Scott,S,Bengals,12000000,4000000,3000000,1000000,25.0,S,32
457,Lucas Patrick,LG,Bears,8000000,4000000,4000000,2000000,50.0,IOL,15
458,Drew Lock,QB,Seahawks,4000000,4000000,1750000,1750000,43.8,QB,65
459,Rakeem Nunez-Roches,IDL,Giants,12000000,4000000,5465000,1821667,45.5,IDL,51
460,Mecole Hardman,WR,Jets,4000000,4000000,3580000,3580000,89.5,WR,132
461,E.J. Speed,LB,Colts,8000000,4000000,3920000,1960000,49.0,LB,39
462,Leighton Vander Esch,LB,Cowboys,8000000,4000000,5000000,2500000,62.5,LB,39
463,Jamaal Williams,RB,Saints,12000000,4000000,8150000,2716667,67.9,RB,16
464,Jameis Winston,QB,Saints,4000000,4000000,4000000,4000000,100.0,QB,65
465,Baker Mayfield,QB,Buccaneers,4000000,4000000,4000000,4000000,100.0,QB,65
466,Phil Haynes,LG,Seahawks,4000000,4000000,3490000,3490000,87.3,IOL,34
467,Kenyon Green,LG,Texans,15953406,3988352,15953406,3988352,100.0,IOL,9
468,Alijah Vera-Tucker,RT,Jets,15885034,3971259,15885034,3971259,100.0,OT,21
469,Rashan Gary,EDGE,Packers,15877312,3969328,15877312,3969328,100.0,EDGE,42
470,Mac Jones,QB,Patriots,15586340,3896585,15586340,3896585,100.0,QB,28
471,Durham Smythe,TE,Dolphins,7750000,3875000,5500000,2750000,71.0,TE,30
472,Javon Kinlaw,IDL,49ers,15488700,3872175,15488700,3872175,100.0,IDL,38
473,Christian Wilkins,IDL,Dolphins,15439098,3859774,15439098,3859775,100.0,IDL,39
474,Emmanuel Forbes,CB,Commanders,15407568,3851892,0,0,0.0,CB,36
475,Jerry Jeudy,WR,Broncos,15192958,3798240,15192958,3798240,100.0,WR,44
476,Christian Gonzalez,CB,Patriots,15102868,3775717,0,0,0.0,CB,37
477,Jahan Dotson,WR,Commanders,15048356,3762089,15048356,3762089,100.0,WR,45
478,Patrick Ricard,FB,Ravens,11250000,3750000,4500000,1500000,40.0,FB,2
479,Samaje Perine,RB,Broncos,7500000,3750000,3000000,1500000,40.0,RB,28
480,Matt Prater,K,Cardinals,7500000,3750000,4000000,2000000,53.3,K,16
481,Zion Johnson,RG,Chargers,14746680,3686670,14746680,3686670,100.0,IOL,14
482,Jack Campbell,LB,Lions,14722018,3680505,0,0,0.0,LB,23
483,Michael Dickson,P,Seahawks,14699059,3674765,7500000,1875000,51.0,P,1
484,Zaven Collins,LB,Cardinals,14690254,3672564,14690254,3672564,100.0,LB,24
485,Mike Purcell,IDL,Broncos,7250000,3625000,0,0,0.0,IDL,67
486,Morgan Fox,IDL,Chargers,7250000,3625000,3750000,1875000,51.7,IDL,67
487,Calijah Kancey,IDL,Buccaneers,14493472,3623368,0,0,0.0,IDL,41
488,Jaxon Smith-Njigba,WR,Seahawks,14417308,3604327,0,0,0.0,WR,49
489,Ashton Dulin,WR,Colts,7200000,3600000,3500000,1750000,48.6,WR,74
490,Quinton Jefferson,IDL,Jets,3600000,3600000,2750000,2750000,76.4,IDL,132
491,Alex Leatherwood,RG,Bears,14391564,3597891,14391564,3597891,100.0,IOL,15
492,Treylon Burks,WR,Titans,14369590,3592398,14369590,3592398,100.0,WR,50
493,A.J. Terrell,CB,Falcons,14305746,3576437,14305746,3576437,100.0,CB,38
494,Quentin Johnston,WR,Chargers,14188786,3547197,0,0,0.0,WR,52
495,Trevor Penning,LT,Saints,14143316,3535829,14143316,3535829,100.0,OT,27
496,Kenny Pickett,QB,Steelers,14067904,3516976,14067904,3516976,100.0,QB,30
497,Taven Bryan,IDL,Colts,3510000,3510000,3000000,3000000,85.5,IDL,134
498,Zay Flowers,WR,Ravens,14036440,3509110,0,0,0.0,WR,53
499,Jaelan Phillips,EDGE,Dolphins,14018206,3504552,14018206,3504552,100.0,EDGE,43
500,CeeDee Lamb,WR,Cowboys,14010014,3502504,14010014,3502504,100.0,WR,54
501,Malik Hooker,S,Cowboys,7000000,3500000,2000000,1000000,28.6,S,52
502,Calvin Anderson,LT,Patriots,7000000,3500000,4000000,2000000,57.1,OT,31
503,Greg Gaines,IDL,Buccaneers,3500000,3500000,3500000,3500000,100.0,IDL,135
504,Charles Harris,EDGE,Lions,3500000,3500000,3000000,3000000,85.7,EDGE,142
505,Devin Bush,LB,Seahawks,3500000,3500000,2990000,2990000,85.4,LB,114
506,Mike Hughes,CB,Falcons,7000000,3500000,3240000,1620000,46.3,CB,64
507,Cody Barton,LB,Commanders,3500000,3500000,3500000,3500000,100.0,LB,114
508,Robert Spillane,LB,Raiders,7000000,3500000,3045000,1522500,43.5,LB,41
509,Halapoulivaati Vaitai,RG,Lions,3500000,3500000,3000000,3000000,85.7,IOL,48
510,Alexander Mattison,RB,Vikings,7000000,3500000,6350000,3175000,90.7,RB,29
511,Bradley Roby,CB,Saints,10500000,3500000,2380000,793333,22.7,CB,48
512,Braxton Berrios,WR,Dolphins,3500000,3500000,3000000,3000000,85.7,WR,157
513,Gardner Minshew,QB,Colts,3500000,3500000,3500000,3500000,100.0,QB,72
514,Sean Murphy-Bunting,CB,Titans,3500000,3500000,3500000,3500000,100.0,CB,163
515,Jordan Hicks,LB,Vikings,3500000,3500000,3250000,3250000,92.9,LB,114
516,Elandon Roberts,LB,Steelers,7000000,3500000,2335000,1167500,33.4,LB,41
517,Trent McDuffie,CB,Chiefs,13992484,3498121,13992484,3498121,100.0,CB,40
518,Jack Fox,P,Lions,13965000,3491250,5895000,1473750,42.2,P,2
519,Gus Edwards,RB,Ravens,3484000,3484000,2300000,2300000,66.0,RB,93
520,Quay Walker,LB,Packers,13841644,3460411,13841644,3460411,100.0,LB,25
521,Jamin Davis,LB,Commanders,13794176,3448544,13794176,3448544,100.0,LB,26
522,Jordan Addison,WR,Vikings,13731736,3432934,0,0,0.0,WR,55
523,Kadarius Toney,WR,Chiefs,13719508,3429877,13719508,3429877,100.0,WR,56
524,Kaiir Elam,CB,Bills,13690812,3422703,13690812,3422703,100.0,CB,41
525,Kwity Paye,EDGE,Colts,13644836,3411209,13644836,3411209,100.0,EDGE,45
526,Austin Jackson,RT,Dolphins,13640352,3410088,13640352,3410088,100.0,OT,23
527,Jerry Tillery,IDL,Raiders,6800000,3400000,3850000,1925000,56.6,IDL,70
528,Deonte Banks,CB,Giants,13579404,3394851,0,0,0.0,CB,42
529,Brian Burns,EDGE,Panthers,13540182,3385046,13540182,3385046,100.0,EDGE,46
530,Isaiah Oliver,CB,49ers,6750000,3375000,2910000,1455000,43.1,CB,66
531,Caleb Farley,CB,Titans,13495586,3373897,13495586,3373897,100.0,CB,44
532,Dalton Kincaid,TE,Bills,13427040,3356760,0,0,0.0,TE,22
533,Tyler Smith,RT,Cowboys,13389116,3347279,13389116,3347279,100.0,OT,24
534,Christian Darrisaw,LT,Vikings,13346146,3336537,13346146,3336537,100.0,OT,28
535,K'Lavon Chaisson,EDGE,Jaguars,13344610,3336153,13344610,3336153,100.0,EDGE,48
536,Dennis Gardeck,EDGE,Cardinals,10000000,3333333,3250000,1083333,32.5,EDGE,60
537,Zaire Franklin,LB,Colts,10000000,3333333,4000000,1333333,40.0,LB,35
538,Ian Thomas,TE,Panthers,6650000,3325000,4000000,2000000,60.2,TE,32
539,Mazi Smith,IDL,Cowboys,13274694,3318674,0,0,0.0,IDL,44
540,Jalen Reagor,WR,Vikings,13270678,3317670,13270678,3317670,100.0,WR,57
541,Tress Way,P,Commanders,13250000,3312500,6415000,1603750,48.4,P,3
542,Dexter Lawrence,IDL,Giants,13248040,3312010,13248040,3312010,100.0,IDL,45
543,Tyler Linderbaum,C,Ravens,13238294,3309574,13238294,3309574,100.0,IOL,16
544,Nick Bellore,LB,Seahawks,6600000,3300000,2300000,1150000,34.8,LB,43
545,Anton Harrison,RT,Jaguars,13198522,3299631,0,0,0.0,OT,25
546,Justin Jefferson,WR,Vikings,13122806,3280702,13122806,3280702,100.0,WR,58
547,Jermaine Johnson II,EDGE,Jets,13087444,3271861,13087444,3271861,100.0,EDGE,49
548,Najee Harris,RB,Steelers,13047444,3261861,13047444,3261861,100.0,RB,14
549,Colt McCoy,QB,Cardinals,7500000,3250000,6000000,3000000,80.0,QB,39
550,Brandon Facyson,CB,Raiders,6500000,3250000,2268000,1134000,34.9,CB,68
551,Hassan Ridgeway,IDL,Texans,3250000,3250000,3000000,3000000,92.3,IDL,137
552,James Hurst,LT,Saints,3250000,3250000,1305000,1305000,40.2,OT,63
553,Nelson Agholor,WR,Ravens,3250000,3250000,3250000,3250000,100.0,WR,162
554,Alec Ingold,FB,Dolphins,6500000,3250000,3500000,1750000,53.8,FB,3
555,Cornelius Lucas,LT,Commanders,6500000,3250000,2920000,1460000,44.9,OT,32
556,Dan Feeney,LG,Dolphins,3250000,3250000,3125000,3125000,96.2,IOL,49
557,Kenneth Murray,LB,Chargers,12974944,3243736,12974944,3243736,100.0,LB,28
558,Devin Lloyd,LB,Jaguars,12936608,3234152,12936608,3234152,100.0,LB,29
559,Travis Etienne,RB,Jaguars,12898112,3224528,12898112,3224528,100.0,RB,15
560,Devonte Wyatt,IDL,Packers,12861182,3215296,12861182,3215296,100.0,IDL,47
561,Andrew Wingard,S,Jaguars,9600000,3200000,4080000,1360000,42.5,S,37
562,J.T. Gray,S,Saints,9600000,3200000,3500000,1166667,36.5,S,37
563,Greg Newsome II,CB,Browns,12748754,3187189,12748754,3187189,100.0,CB,45
564,Cesar Ruiz,RG,Saints,12679198,3169800,12679198,3169800,100.0,IOL,16
565,Keion Crossen,CB,Dolphins,9450000,3150000,3035000,1011667,32.1,CB,50
566,Rashod Bateman,WR,Ravens,12599414,3149854,12599414,3149854,100.0,WR,59
567,Noah Fant,TE,Seahawks,12590724,3147681,12590724,3147681,100.0,TE,23
568,Myles Murphy,EDGE,Bengals,12587256,3146814,0,0,0.0,EDGE,50
569,Brandon Aiyuk,WR,49ers,12531350,3132838,12531350,3132838,100.0,WR,60
570,Payton Turner,EDGE,Saints,12524736,3131184,12524736,3131184,100.0,EDGE,51
571,Darnell Savage Jr.,S,Packers,12517688,3129422,12517688,3129422,100.0,S,29
572,Case Keenum,QB,Texans,6250000,3125000,4000000,2000000,64.0,QB,40
573,Andrew Beck,TE,Texans,6250000,3125000,4000000,2000000,64.0,TE,35
574,Jordan Love,QB,Packers,12383470,3095868,12383470,3095868,100.0,QB,32
575,Bryan Bresee,IDL,Saints,12263552,3065888,0,0,0.0,IDL,49
576,Cole Strange,LG,Patriots,12255972,3063993,12255972,3063993,100.0,IOL,12
577,Jordyn Brooks,LB,Seahawks,12235604,3058901,12121679,3030420,99.1,LB,31
578,Tytus Howard,RT,Texans,12225550,3056388,12225550,3056388,100.0,OT,27
579,Patrick Queen,LB,Ravens,12161670,3040418,11843261,2960815,97.4,LB,32
580,Bryan Anger,P,Cowboys,9000000,3000000,3800000,1266667,42.2,P,8
581,Logan Cooke,P,Jaguars,12000000,3000000,6000000,1500000,50.0,P,4
582,M.J. Stewart,S,Texans,6000000,3000000,3000000,1500000,50.0,S,54
583,Jeff Wilson,RB,Dolphins,6000000,3000000,2645000,1322500,44.1,RB,32
584,Dustin Hopkins,K,Chargers,9000000,3000000,3520000,1173333,39.1,K,14
585,Siran Neal,CB,Bills,9000000,3000000,2900000,966667,32.2,CB,53
586,Ja'Whaun Bentley,LB,Patriots,6000000,3000000,3900000,1950000,65.0,LB,46
587,Tre'Quan Smith,WR,Saints,6000000,3000000,2000000,1000000,33.3,WR,85
588,Dante Fowler Jr.,EDGE,Cowboys,3000000,3000000,1000000,1000000,33.3,EDGE,146
589,Jordan Phillips,IDL,Bills,3000000,3000000,1220000,1220000,40.7,IDL,139
590,Damontae Kazee,S,Steelers,6000000,3000000,1750000,875000,29.2,S,54
591,Cairo Santos,K,Bears,9000000,3000000,3575000,1191667,39.7,K,14
592,Randall Cobb,WR,Jets,3000000,3000000,0,0,0.0,WR,163
593,Mike Edwards,S,Chiefs,3000000,3000000,2480000,2480000,82.7,S,112
594,Jermaine Eluemunor,RT,Raiders,3000000,3000000,2438000,2438000,81.3,OT,59
595,Chris Manhertz,TE,Broncos,6000000,3000000,3340000,1670000,55.7,TE,39
596,A.J. Cole,P,Raiders,12000000,3000000,3500000,875000,29.2,P,4
597,Marvin Jones,WR,Lions,3000000,3000000,3000000,3000000,100.0,WR,163
598,Josh Reynolds,WR,Lions,6000000,3000000,2700000,1350000,45.0,WR,85
599,Tim Settle,IDL,Bills,3000000,3000000,2458000,2458000,81.9,IDL,139
600,Bud Dupree,EDGE,Falcons,3000000,3000000,2490000,2490000,83.0,EDGE,146
601,Drue Tranquill,LB,Chiefs,3000000,3000000,2450000,2450000,81.7,LB,120
602,Nolan Smith,EDGE,Eagles,11992416,2998104,0,0,0.0,EDGE,52
603,George Karlaftis,EDGE,Chiefs,11935476,2983869,11935476,2983869,100.0,EDGE,53
604,Eric Stokes,CB,Packers,11925514,2981379,11834066,2958517,99.2,CB,46
605,Felix Anudike-Uzomah,EDGE,Chiefs,11817820,2954455,0,0,0.0,EDGE,54
606,Marquise Brown,WR,Cardinals,11787340,2946835,11589976,2897494,98.3,WR,62
607,Daxton Hill,S,Bengals,11667018,2916755,11667018,2916755,100.0,S,34
608,Montez Sweat,EDGE,Commanders,11641260,2910315,11058816,2764704,95.0,EDGE,55
609,Gregory Rousseau,EDGE,Bills,11608190,2902048,11367075,2841769,97.9,EDGE,56
610,Rigoberto Sanchez,P,Colts,11600000,2900000,5000000,1250000,43.1,P,6
611,Tashaun Gipson,S,49ers,2900000,2900000,2170000,2170000,74.8,S,113
612,Bradley Pinion,P,Falcons,8650000,2883333,4325000,1441667,50.0,P,9
613,Lawrence Guy,IDL,Patriots,11500000,2875000,2075000,518750,18.0,IDL,53
614,Lewis Cine,S,Vikings,11494155,2873539,11494155,2873539,100.0,S,35
615,Zach Sieler,IDL,Dolphins,8575000,2858333,1308824,436275,15.3,IDL,60
616,Odafe Oweh,EDGE,Ravens,11342390,2835597,10985701,2746425,96.9,EDGE,57
617,Noah Igbinoghene,CB,Dolphins,11254202,2813551,10718036,2679509,95.2,CB,47
618,Raheem Mostert,RB,Dolphins,5600000,2800000,2200000,1100000,39.3,RB,36
619,C.J. Ham,FB,Vikings,5600000,2800000,3300000,1650000,58.9,FB,4
620,Mitch Wishnowsky,P,49ers,11200000,2800000,3661389,915347,32.7,P,7
621,Joe Tryon-Shoyinka,EDGE,Buccaneers,11171244,2792811,10690907,2672727,95.7,EDGE,58
622,Graham Glasgow,RG,Lions,2750000,2750000,2500000,2500000,90.9,IOL,51
623,Daniel Brunskill,RG,Titans,5500000,2750000,1500000,750000,27.3,IOL,26
624,Devin Singletary,RB,Texans,2750000,2750000,2500000,2500000,90.9,RB,98
625,Austin Hooper,TE,Raiders,2750000,2750000,2165000,2165000,78.7,TE,83
626,Andrew Billings,IDL,Bears,2750000,2750000,2310000,2310000,84.0,IDL,142
627,Marquis Haynes,EDGE,Panthers,5500000,2750000,2035000,1017500,37.0,EDGE,84
628,Yodny Cajuste,LT,Patriots,2743000,2743000,0,0,0.0,OT,64
629,Calvin Ridley,WR,Jaguars,10900732,2725183,9907077,2476769,90.9,WR,63
